Unnamed: 0,content,title,职位名称,工作经验,工资,工作年限,salary,月工资,经验
0,国金证券----中兴通讯（000063.SZ）：迷雾渐散，价值终将显现事件:7月27日，中兴通讯发布2018,中兴通讯，迷雾渐散、价值终将显现 ,全职,不限,8000-15000,[],"['8000', '15000']",9750.0,0.0
1,消息解读1、中国社科院张明：房地产调控可能不会放松反而进一步收紧2、经济日报：不要迷信房地产对经济拉动作用3、经济参考报：房地产调控须促进长效机制加速落地4、新华国际时评：合力开创中日和平友好新局面5,8月13日：内资回马枪助市场企稳，底背离形成多方谋划30线,全职,1-3,6000-8000,"['1', '3']","['6000', '8000']",6500.0,2.0
2,受美威胁对土加征关税消息，间接导致全球经济都受到负面影响，A股一向遵循惯例跟跌惯例开盘大幅低开，上证直接一步跌到前期震荡箱体内，午后外围对市场的影响明显在减弱，市场尾盘迎来大面积反弹。不过这次在亚太股,市场本无事，庸人自扰之！,全职,3-5,5000-8000,"['3', '5']","['5000', '8000']",5750.0,4.0
3,本周股指确立双底结构后，开始反攻之战，在此阶段，震荡是正常的，周五早盘急拉，午后一度回落，最终收盘险收红，由此可以看出市场资金与高层的意向都是很明显的了，大家在把握这波反攻机会的同时，也要做好个股方面,主力建仓动作分解，散户把握这些何愁不赚钱！,全职,5-10,8000-15000,"['5', '10']","['8000', '15000']",9750.0,7.5
4,那艘“网红”大豆船在大海上漂泊了一个月而不愿意离去，其实是在赌中国在贸易战中反击美国的决心和能力，以及化解危机的勇气和智慧。估计很多人都还记得，一个月前，一艘名为“飞马峰号“的大豆船从美国出发，在茫茫,毛衣战奇闻：那艘海上漂泊的（网红）大豆船，最终会胜利吗？,全职,1-3,6000-8000,"['1', '3']","['6000', '8000']",6500.0,2.0
5,今天早盘在视频讲解中就已经跟不少粉丝朋友有过提醒，当下股指依然处于震荡反弹阶段，早盘强拉不一定是好的节奏，上方压力较为明显，投资者切勿盲目追进建仓操作，板块方面，房地产、酿酒等强势上攻，带动股指向上；,本周行情回顾，接下来A股将加速反转行情！,全职,3-5,5000-8000,"['3', '5']","['5000', '8000']",5750.0,4.0
6,北京时间8日晚间，MagicLeap在其官网上上架了流传已久的增强现实设备――MagicLeapOneCreatorEdition（创造者版本）。该机配备有英伟达TegraX2移动芯片、8...,AR独角兽首款产品重磅出炉，估值最高的初创公司背后，这些公司均提前投资,全职,5-10,8000-15000,"['5', '10']","['8000', '15000']",9750.0,7.5
7,所谓量在价先，在主力巨量出现一刹那就要立马出手，短线静气凝神、眼疾手快者胜。盘中突然出现万手单的股票必须重视2、大单封死涨停后排队挂单买入。同样的你挂单越早买入的机会就越大，任何时候都不要...,学习会这节内容股票涨停板战法翻倍的机会,全职,1-3,6000-8000,"['1', '3']","['6000', '8000']",6500.0,2.0
8,上证小幅低开，开盘后一部分资金依旧围绕着科技股在进攻，资金集中在头部个股，跟风的出现调整。次新+芯片题材的芯能科技开板后回封，中国软件等均冲高回落，科技...,调整是为了更好的进攻！下周操作思路在这里！,全职,3-5,5000-8000,"['3', '5']","['5000', '8000']",5750.0,4.0
9,↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑点击上方视频按钮查看详情一周又过去啦~周末大家终于能好好休息休息啦高手复盘逻辑学推出了周五特别版点击上方视频倾听会长语音版收评文章作者:股票协会――职业投资人,8月10日高手复盘逻辑学,全职,5-10,8000-15000,"['5', '10']","['8000', '15000']",9750.0,7.5
